age,price
0,91580.83333333333
1,86093.42920353982
2,68011.52542372882
3,65286.374285714286
4,58277.8198757764
5,50307.07744107744
6,50670.16507936508
7,40554.88030888031
8,36538.60820895522
9,30571.859649122805
10,24069.276243093922
11,26574.79746835443
12,19336.801418439718
13,35028.66935483871
14,18706.55
15,21413.916666666668
16,18648.964601769912
17,18715.632653061224
18,22743.39393939394
19,87680.58333333333
20,13791.933333333332
21,16462.836734693876
22,14241.03125
23,14754.676470588236
24,13002.882352941177
25,12084.666666666666
26,12670.818181818182
27,11611.0
28,22437.375
29,25665.333333333332
30,7539.857142857143
31,22522.11111111111
32,11500.0
50,115000.0
